Date,Open,High,Low,Close,Volume
2015-06-22,32.62,32.86,32.55,32.7,1670946
2015-06-23,32.66,32.66,32.14,32.23,3014804
2015-06-24,32.24,32.34,31.96,31.99,3481769
2015-06-25,32.09,32.09,31.87,31.92,3032734
2015-06-26,31.91,32.28,31.76,32.24,2654765
2015-06-29,32.24,32.62,32.14,32.17,3643655
2015-06-30,32.26,32.38,32.02,32.18,4141910
2015-07-01,32.23,32.53,32.12,32.5,3625871
2015-07-02,32.83,33.0,32.61,32.82,2794681
2015-07-06,32.79,32.99,32.64,32.94,2641703
2015-07-07,33.13,33.96,33.06,33.89,3585920
2015-07-08,33.72,34.01,33.61,33.71,2893319
2015-07-09,33.75,33.88,33.17,33.33,2072583
2015-07-10,33.4,33.78,33.265,33.55,2825050
2015-07-13,33.68,33.84,33.36,33.54,2386618
2015-07-14,33.58,33.73,33.37,33.54,1421686
2015-07-15,33.55,33.67,33.32,33.62,1663468
2015-07-16,33.72,34.18,33.66,34.12,2154148
2015-07-17,33.99,34.01,33.685,33.7,2355983
2015-07-20,33.65,33.7,33.21,33.48,2645098
2015-07-21,33.41,33.49,33.02,33.15,2344715
2015-07-22,33.16,33.4847,33.1003,33.4,2511864
2015-07-23,33.33,33.335,32.725,32.91,2948101
2015-07-24,32.91,33.02,32.79,32.86,2329119
2015-07-27,32.89,33.47,32.82,33.34,3091837
2015-07-28,33.32,33.61,33.19,33.59,2364378
2015-07-29,33.54,33.76,33.29,33.73,2424704
2015-07-30,33.7,34.375,33.13,34.21,4738107
2015-07-31,34.43,35.15,34.3,34.67,5328697
2015-08-03,34.69,34.87,34.4,34.53,2849899
2015-08-04,34.51,34.52,34.07,34.15,1962837
2015-08-05,34.33,34.45,34.09,34.42,3175972
2015-08-06,34.37,34.85,34.24,34.83,3942841
2015-08-07,34.73,35.4,34.59,35.25,2568333
2015-08-10,35.23,35.27,34.865,34.94,2813733
2015-08-11,35.01,35.45,34.84,35.37,3270889
2015-08-12,35.31,35.9,35.22,35.72,3905036
2015-08-13,35.63,35.69,35.194,35.56,2410690
2015-08-14,35.5,35.85,35.26,35.8,1568932
2015-08-17,35.82,36.11,35.72,35.99,2788594
2015-08-18,35.88,36.01,35.77,35.91,2413251
2015-08-19,35.85,36.48,35.69,36.32,3831440
2015-08-20,36.05,36.35,35.89,36.01,2438788
2015-08-21,35.85,36.05,35.56,35.56,3715682
2015-08-24,34.65,35.07,33.91,34.1,6026559
2015-08-25,34.53,34.69,33.05,33.08,5174561
2015-08-26,33.47,33.69,32.8301,33.54,4839740
2015-08-27,33.75,34.0,33.46,34.0,4082350
2015-08-28,33.98,34.11,33.46,33.95,2366200
2015-08-31,33.82,33.86,33.22,33.73,5646105
2015-09-01,33.33,33.47,32.815,32.98,5510377
2015-09-02,33.28,33.31,32.8,33.1,4570032
2015-09-03,33.13,33.475,33.04,33.29,4303263
2015-09-04,32.95,33.115,32.44,32.63,3989332
2015-09-08,32.96,33.1,32.72,33.08,3181907
2015-09-09,33.23,33.23,32.51,32.56,4514078
2015-09-10,32.52,32.88,32.431,32.71,4989136
2015-09-11,32.54,33.17,32.48,33.16,2792518
2015-09-14,33.16,33.38,32.995,33.16,2841521
2015-09-15,32.89,33.29,32.73,33.11,4569218
2015-09-16,33.1,33.48,33.04,33.36,2625087
2015-09-17,33.32,34.24,33.27,33.84,3312340
2015-09-18,33.54,34.04,33.51,33.63,3772636
2015-09-21,33.72,34.22,33.61,34.11,4013528
2015-09-22,33.85,34.18,33.73,33.92,4282341
2015-09-23,33.91,34.14,33.78,34.11,3759633
2015-09-24,33.95,34.49,33.88,34.4,3556774
2015-09-25,34.46,35.2,34.29,34.91,2837111
2015-09-28,34.85,35.135,34.61,34.64,3112391
2015-09-29,34.66,34.87,34.49,34.7,3361696
2015-09-30,34.88,35.445,34.71,35.41,2721974
2015-10-01,35.42,35.49,34.64,35.01,2875160
2015-10-02,35.2,35.48,34.82,35.33,3299454
2015-10-05,35.55,35.59,35.08,35.51,5369432
2015-10-06,35.49,35.5,34.88,35.04,3881629
2015-10-07,35.05,35.1,34.86,35.03,4451673
2015-10-08,34.92,35.56,34.9,35.51,2013906
2015-10-09,35.51,35.69,35.07,35.26,3074042
2015-10-12,35.29,35.88,35.23,35.84,2087378
2015-10-13,35.73,36.02,35.7,35.89,2925897
2015-10-14,35.92,36.31,35.87,35.99,2429007
2015-10-15,36.14,36.49,35.92,36.35,2588673
2015-10-16,36.42,36.71,36.25,36.43,2948207
2015-10-19,36.32,36.39,35.97,36.26,4411896
2015-10-20,36.16,36.73,36.12,36.63,3477271
2015-10-21,36.74,36.935,36.525,36.58,1709874
2015-10-22,36.69,37.25,36.6,37.14,2684056
2015-10-23,37.07,37.2,36.31,36.44,3624624
2015-10-26,36.49,36.79,36.21,36.78,2959885
2015-10-27,36.7,36.87,36.49,36.72,2603551
2015-10-28,36.72,36.88,35.635,36.04,3256374
2015-10-29,35.8,36.12,35.05,35.54,4433307
2015-10-30,35.63,35.965,35.54,35.63,3160339
2015-11-02,35.67,35.95,35.39,35.85,2499205
2015-11-03,35.76,36.02,35.49,35.89,1817786
2015-11-04,35.9,36.32,35.9,36.03,1925749
2015-11-05,36.0,36.3,35.91,36.11,2228824
2015-11-06,35.46,35.46,34.33,34.86,5854600
2015-11-09,34.71,35.08,34.6,35.01,3674434
2015-11-10,35.03,35.62,35.0,35.58,4266917
2015-11-11,35.5,36.17,35.5,36.05,3611090
2015-11-12,35.95,36.32,35.27,35.31,4105154
2015-11-13,35.39,35.65,34.77,35.01,3446732
2015-11-16,35.01,35.59,34.94,35.59,3515828
2015-11-17,35.5,35.8,35.09,35.22,4005287
2015-11-18,35.23,35.67,34.93,35.62,3612795
2015-11-19,35.71,35.9,35.46,35.72,3494169
2015-11-20,35.87,36.16,35.745,35.86,3884520
2015-11-23,35.93,36.03,35.54,35.57,2342099
2015-11-24,35.37,35.79,35.2,35.73,4416285
2015-11-25,35.68,35.73,35.33,35.5,2200068
2015-11-27,35.53,35.83,35.37,35.64,1468035
2015-11-30,35.59,35.92,35.56,35.66,3546189
2015-12-01,35.8,36.01,35.71,35.97,4161478
2015-12-02,35.85,35.93,35.18,35.22,3471061
2015-12-03,34.98,35.08,34.33,34.42,7790774
2015-12-04,34.54,35.12,34.5,34.97,5090697
2015-12-07,34.94,35.285,34.88,35.27,4847699
2015-12-08,35.14,35.42,35.0,35.21,4830860
2015-12-09,35.07,35.53,34.9,35.28,3295321
2015-12-10,35.19,35.23,34.66,34.79,5652181
2015-12-11,34.6,35.14,34.47,34.94,4247295
2015-12-14,34.95,35.35,34.83,35.29,3819655
2015-12-15,35.47,35.79,35.35,35.57,3306839
2015-12-16,35.67,36.5,35.65,36.42,4070589
2015-12-17,36.42,36.72,36.18,36.4,2868963
2015-12-18,36.12,36.33,35.345,35.6,6313660
2015-12-21,35.79,35.91,35.18,35.41,4141434
2015-12-22,35.24,35.48,34.81,35.33,3459542
2015-12-23,35.45,35.92,35.45,35.85,3101784
2015-12-24,35.81,35.88,35.59,35.74,1577344
2015-12-28,35.64,36.19,35.57,36.14,3689755
2015-12-29,36.3,36.47,36.06,36.22,1921136
2015-12-30,36.3,36.5,36.19,36.4,1392167
2015-12-31,36.35,36.38,35.63,35.91,2330406
2016-01-04,35.61,35.87,35.39,35.7,2819292
2016-01-05,35.68,36.14,35.19,36.06,2141174
2016-01-06,35.85,36.6,35.74,36.44,5191872
2016-01-07,36.1,36.66,36.055,36.58,5212230
2016-01-08,36.58,36.75,36.08,36.18,3005505
2016-01-11,36.23,36.61,36.21,36.47,3885497
2016-01-12,36.61,36.7,35.87,36.33,3354193
2016-01-13,36.3,36.68,36.05,36.11,4818019
2016-01-14,36.17,36.93,36.15,36.71,3671440
2016-01-15,36.23,36.73,35.99,36.5,3878549
2016-01-19,36.73,37.35,36.5665,37.21,5422532
2016-01-20,37.1,37.24,36.11,36.62,5464385
2016-01-21,36.65,37.06,35.91,36.13,5359249
2016-01-22,36.31,36.67,36.01,36.63,4530973
2016-01-25,36.65,36.76,36.295,36.53,2343133
2016-01-26,36.65,37.09,36.4,36.77,2709050
2016-01-27,36.69,37.17,36.385,36.68,3760169
2016-01-28,36.36,37.84,36.1,37.57,3168006
2016-01-29,37.54,38.26,37.5,38.22,5407145
2016-02-01,38.09,38.74,37.9,38.56,6105028
2016-02-02,38.33,38.995,38.29,38.98,5094618
2016-02-03,38.88,39.43,36.25,39.25,8312260
2016-02-04,39.13,39.5033,38.82,39.07,5492676
2016-02-05,38.92,39.63,38.47,39.53,5090738
2016-02-08,39.51,40.21,38.865,39.25,7091229
2016-02-09,39.24,39.745,39.03,39.62,4267712
2016-02-10,39.5,39.77,38.7848,39.35,4688783
2016-02-11,39.29,39.46,38.87,38.99,4570967
2016-02-12,39.04,39.3,38.46,38.82,4061899
2016-02-16,38.92,38.92,38.43,38.83,3158875
2016-02-17,38.94,38.95,38.5001,38.94,4160120
2016-02-18,39.02,39.82,38.9,39.64,3784971
2016-02-19,39.72,39.72,39.22,39.33,4361583
2016-02-22,39.48,39.76,39.27,39.67,2395782
2016-02-23,39.54,39.9,39.36,39.83,2925474
2016-02-24,39.86,40.295,39.575,39.91,2831871
2016-02-25,39.95,40.425,39.81,40.2,2922511
2016-02-26,39.97,40.1,39.14,39.27,5065164
2016-02-29,39.21,39.92,39.21,39.54,5544834
2016-03-01,39.67,39.9,39.04,39.46,4788686
2016-03-02,39.24,39.63,38.26,39.59,5011019
2016-03-03,39.53,39.63,39.04,39.6,3127794
2016-03-04,39.35,40.08,39.08,39.94,5117375
2016-03-07,39.89,40.21,39.75,40.06,4124243
2016-03-08,40.2,40.68,39.93,40.66,4230941
2016-03-09,40.64,40.94,40.52,40.72,3557762
2016-03-10,40.68,40.87,40.33,40.74,3407837
2016-03-11,40.5,40.76,40.29,40.38,3199701
2016-03-14,40.37,40.565,40.16,40.42,3367908
2016-03-15,40.29,40.79,40.29,40.5,2464908
2016-03-16,40.38,41.04,40.09,40.92,2344377
2016-03-17,41.0,41.59,40.72,41.5,3094212
2016-03-18,41.52,41.61,41.06,41.06,4851873
2016-03-21,40.99,41.2725,40.59,41.05,2337376
2016-03-22,41.05,41.2,40.76,40.77,2426005
2016-03-23,40.79,41.285,40.58,41.12,2566190
2016-03-24,41.12,41.39,40.94,41.23,2178269
2016-03-28,41.34,41.6,41.045,41.16,1512926
2016-03-29,41.25,41.69,41.11,41.66,2830437
2016-03-30,41.63,41.695,41.32,41.56,2078179
2016-03-31,41.61,41.85,41.4899,41.82,3218064
2016-04-01,41.69,42.02,41.54,41.94,2832173
2016-04-04,42.01,42.04,41.42,41.86,2278297
2016-04-05,41.68,41.85,40.86,40.95,4397790
2016-04-06,40.87,40.92,40.52,40.85,3211611
2016-04-07,40.73,41.07,40.62,40.79,3338646
2016-04-08,40.9,41.235,40.875,41.01,2103895
2016-04-11,41.03,41.23,40.75,40.8,2266128
2016-04-12,40.82,41.065,40.64,40.99,3158671
2016-04-13,41.08,41.13,40.37,40.69,2577545
2016-04-14,40.57,40.78,40.46,40.58,2091802
2016-04-15,40.67,40.96,40.55,40.83,2820011
2016-04-18,40.84,41.14,40.605,41.14,2090695
2016-04-19,41.21,41.27,40.815,41.16,2767842
2016-04-20,41.39,41.41,39.72,39.73,5000821
2016-04-21,39.69,39.72,38.43,38.61,8397663
2016-04-22,38.8,39.09,38.77,39.05,5038916
2016-04-25,38.95,39.19,38.81,39.15,3237178
2016-04-26,39.2,39.36,39.065,39.19,3357558
2016-04-27,39.31,39.98,39.22,39.71,4432137
2016-04-28,39.36,39.95,39.16,39.94,3163173
2016-04-29,39.67,40.1,39.35,40.03,3865674
2016-05-02,40.24,40.74,40.11,40.51,2990552
2016-05-03,40.39,40.73,40.3,40.55,2500822
2016-05-04,40.45,41.27,40.45,41.01,3372141
2016-05-05,40.9,41.3,40.64,40.84,3005216
2016-05-06,40.83,40.83,40.17,40.46,3652432
2016-05-09,40.5,41.31,40.48,41.16,4033529
2016-05-10,41.31,41.56,41.02,41.36,3160188
2016-05-11,41.44,41.58,41.1,41.38,2399600
2016-05-12,41.36,41.98,41.19,41.85,3815231
2016-05-13,41.81,41.865,41.38,41.71,2721252
2016-05-16,41.59,41.75,41.38,41.75,2724113
2016-05-17,41.61,41.705,40.64,40.86,3252254
2016-05-18,40.61,41.03,39.94,40.09,3696289
2016-05-19,39.95,40.52,39.69,40.51,2560169
2016-05-20,40.68,40.71,40.18,40.47,2967494
2016-05-23,40.56,40.63,40.04,40.06,2247647
2016-05-24,40.1,40.61,40.06,40.56,2358249
2016-05-25,40.45,40.535,40.17,40.37,2779530
2016-05-26,40.41,40.94,40.33,40.89,2465550
2016-05-27,40.96,41.07,40.69,40.92,2136464
2016-05-31,40.91,41.41,40.75,41.37,4783903
2016-06-01,41.32,41.57,41.25,41.56,2542291
2016-06-02,41.42,41.49,40.985,41.4,2222718
