Date,Open,High,Low,Close,Volume
2015-06-22,36.95,37.07,36.57,37.0,981598
2015-06-23,36.97,37.7,36.96,37.3,1732781
2015-06-24,37.2,37.34,37.065,37.25,1060648
2015-06-25,37.24,37.34,36.89,36.96,863081
2015-06-26,37.03,37.18,36.88,36.94,3002780
2015-06-29,36.7,36.75,36.25,36.26,987593
2015-06-30,36.77,37.35,36.531,37.07,2068389
2015-07-01,37.32,37.32,36.69,36.81,1183702
2015-07-02,36.89,37.01,36.52,36.73,698305
2015-07-06,36.33,36.49,36.04,36.25,938933
2015-07-07,36.24,36.41,35.62,36.38,863066
2015-07-08,36.1,36.27,35.46,35.57,657439
2015-07-09,36.01,36.25,35.54,35.54,668561
2015-07-10,35.91,35.95,35.35,35.39,1670505
2015-07-13,35.7,36.09,35.52,36.06,920354
2015-07-14,36.04,36.71,35.75,36.49,1899293
2015-07-15,36.46,36.58,35.9,35.95,612296
2015-07-16,36.22,36.3773,35.8,36.02,561954
2015-07-17,35.92,36.03,35.69,35.81,514847
2015-07-20,35.82,35.933,35.71,35.77,556315
2015-07-21,35.7,35.71,35.09,35.19,951199
2015-07-22,35.0,35.2,34.86,34.98,968564
2015-07-23,34.97,35.13,34.57,34.67,1125096
2015-07-24,34.61,34.68,34.49,34.63,1121890
2015-07-27,34.32,34.49,34.2501,34.4,1366787
2015-07-28,34.56,34.94,34.5,34.78,1400070
2015-07-29,34.76,35.32,34.635,35.23,886293
2015-07-30,34.91,35.66,34.73,35.22,1029350
2015-07-31,35.26,35.46,34.335,34.53,1142545
2015-08-03,34.5,34.5,33.6,33.85,1104695
2015-08-04,33.88,34.18,33.66,33.74,1042302
2015-08-05,33.98,34.3,33.65,33.89,1276707
2015-08-06,33.95,34.13,33.57,33.68,1507927
2015-08-07,33.64,33.86,33.375,33.5,887686
2015-08-10,33.82,34.16,33.72,34.09,1166379
2015-08-11,33.72,33.82,33.48,33.58,1099303
2015-08-12,33.32,33.74,33.18,33.66,980924
2015-08-13,33.62,33.72,33.42,33.49,1368453
2015-08-14,33.62,33.765,33.28,33.7,1194885
2015-08-17,33.55,33.79,33.33,33.77,1057745
2015-08-18,33.78,33.8,33.38,33.41,995980
2015-08-19,33.23,33.36,32.93,33.15,693134
2015-08-20,32.84,33.12,32.65,32.66,1047287
2015-08-21,32.48,32.58,32.05,32.07,1535150
2015-08-24,30.49,31.92,29.9,30.91,2479069
2015-08-25,31.93,31.98,30.43,30.46,2221408
2015-08-26,31.0,31.44,30.78,31.38,2430396
2015-08-27,31.77,32.4,31.61,32.37,1697116
2015-08-28,32.24,32.79,32.16,32.7,1874075
2015-08-31,32.43,32.68,32.05,32.45,1032761
2015-09-01,31.76,32.03,30.98,31.13,973250
2015-09-02,31.6,31.82,31.2,31.38,1913168
2015-09-03,31.82,32.61,31.82,32.35,1931277
2015-09-04,31.89,32.24,31.66,31.68,1702240
2015-09-08,32.26,32.54,32.12,32.44,1398121
2015-09-09,32.82,32.89,32.045,32.11,1337384
2015-09-10,31.99,32.42,31.83,32.13,1397840
2015-09-11,32.04,32.49,31.89,32.49,1464114
2015-09-14,32.45,32.48,32.02,32.22,1258416
2015-09-15,32.39,33.13,32.23,33.03,1871119
2015-09-16,33.0,33.44,32.96,33.37,1089407
2015-09-17,33.32,33.56,32.98,33.08,1453248
2015-09-18,32.56,32.68,32.17,32.25,1512735
2015-09-21,32.45,33.0,32.13,32.63,1905821
2015-09-22,32.16,32.4986,32.01,32.4,1333771
2015-09-23,32.47,32.66,31.76,31.78,1047609
2015-09-24,31.6,32.73,31.27,32.52,2303598
2015-09-25,32.65,32.78,32.32,32.47,2088329
2015-09-28,32.06,32.27,31.95,32.07,2123918
2015-09-29,32.21,32.44,31.895,31.99,1344081
2015-09-30,32.22,32.95,32.03,32.85,1708506
2015-10-01,32.88,33.2,32.425,32.69,1498624
2015-10-02,32.25,33.54,32.16,33.51,1451130
2015-10-05,33.58,33.84,33.36,33.56,2376842
2015-10-06,33.51,33.84,33.36,33.39,1679236
2015-10-07,33.59,34.19,33.38,34.04,1670232
2015-10-08,33.94,35.24,33.88,34.99,1770092
2015-10-09,35.08,35.35,34.71,34.89,1946204
2015-10-12,34.85,34.96,34.61,34.64,1003184
2015-10-13,34.33,34.85,34.22,34.33,1807541
2015-10-14,34.29,34.5,33.8235,33.87,1424944
2015-10-15,33.94,34.82,33.67,34.74,1909341
2015-10-16,34.69,34.77,34.01,34.74,2124479
2015-10-19,34.51,34.67,34.23,34.64,1297538
2015-10-20,34.56,35.18,34.41,34.88,1210714
2015-10-21,34.97,35.24,34.64,34.72,1397487
2015-10-22,34.86,35.83,34.86,35.62,1415126
2015-10-23,35.9,36.22,35.76,36.19,1524555
2015-10-26,36.14,36.31,35.64,35.91,1340609
2015-10-27,35.57,35.96,35.28,35.85,2315866
2015-10-28,35.97,36.5992,35.7,36.38,1557362
2015-10-29,35.82,36.74,35.82,36.34,1770045
2015-10-30,36.51,36.78,36.07,36.41,1865140
2015-11-02,36.35,36.82,36.18,36.65,974119
2015-11-03,36.65,36.91,36.4,36.58,1658957
2015-11-04,36.6,36.9,36.47,36.65,1008615
2015-11-05,36.6,36.94,36.31,36.79,889468
2015-11-06,36.66,36.92,36.39,36.92,843708
2015-11-09,36.79,36.92,36.31,36.45,905557
2015-11-10,36.34,36.93,36.24,36.93,959676
2015-11-11,37.0,37.26,36.93,36.97,780812
2015-11-12,36.53,36.75,35.745,35.8,1542179
2015-11-13,35.82,36.27,35.68,35.89,938473
2015-11-16,35.8,36.685,35.74,36.6,1467933
2015-11-17,36.66,37.14,36.46,37.0,1600537
2015-11-18,37.15,37.5,37.01,37.46,1775240
2015-11-19,37.42,37.77,37.09,37.67,1137749
2015-11-20,37.83,38.0,37.45,37.5,1301331
2015-11-23,37.56,37.85,37.4,37.55,870804
2015-11-24,37.26,37.61,37.1,37.48,1044056
2015-11-25,37.49,37.86,37.38,37.66,916309
2015-11-27,37.53,37.62,37.28,37.58,514177
2015-11-30,37.58,37.71,37.25,37.32,1463235
2015-12-01,37.37,37.76,37.32,37.64,756867
2015-12-02,37.45,37.58,36.87,36.95,616671
2015-12-03,37.04,37.19,36.43,36.74,735292
2015-12-04,36.78,37.69,36.7775,37.65,1247317
2015-12-07,37.42,37.56,36.78,36.91,638814
2015-12-08,36.47,36.65,36.2,36.28,785464
2015-12-09,36.1,36.795,35.93,36.26,1154646
2015-12-10,36.14,36.97,36.14,36.7,1188618
2015-12-11,36.2,36.77,36.13,36.22,1499770
2015-12-14,36.27,36.665,36.19,36.64,1343983
2015-12-15,36.89,37.07,36.65,36.7,1389536
2015-12-16,36.93,37.63,36.8,37.46,1226714
2015-12-17,37.42,37.625,36.45,36.46,1178513
2015-12-18,36.26,36.31,35.81,35.84,1938512
2015-12-21,36.13,36.31,35.88,36.14,662317
2015-12-22,36.31,36.53,36.03,36.5,805186
2015-12-23,36.73,37.28,36.66,37.13,667422
2015-12-24,37.08,37.26,36.96,37.07,294202
2015-12-28,36.97,36.99,36.675,36.94,630069
2015-12-29,37.2,37.46,36.98,37.1,780513
2015-12-30,37.1,37.22,36.85,36.87,439532
2015-12-31,36.67,36.84,36.45,36.5,635138
2016-01-04,35.92,36.19,35.6011,36.08,1353443
2016-01-05,36.06,36.2,35.51,36.07,1075354
2016-01-06,36.43,36.61,35.22,35.62,1866048
2016-01-07,35.17,35.27,34.49,34.7,1555388
2016-01-08,34.87,35.03,34.28,34.37,1471489
2016-01-11,34.51,34.57,33.69,34.08,852949
2016-01-12,34.35,34.55,33.86,34.27,780966
2016-01-13,34.39,34.51,33.32,33.38,1228521
2016-01-14,33.5,33.77,33.11,33.57,1482437
