Date,Open,High,Low,Close,Volume
2015-06-22,111.1247,111.7476,110.8304,111.2424,825030
2015-06-23,111.5367,111.6053,110.0652,110.5361,825724
2015-06-24,110.3595,113.3024,110.0261,111.3601,3486819
2015-06-25,111.3699,112.037,110.7715,111.1148,1581017
2015-06-26,111.5367,111.9192,110.9579,111.3993,1802629
2015-06-29,104.9641,112.2332,95.6253,107.2106,1562088
2015-06-30,108.3975,108.7899,106.6808,107.1517,2225280
2015-07-01,107.9071,109.2314,106.9359,107.1321,1240381
2015-07-02,107.9071,108.8684,104.9641,106.1315,1402447
2015-07-06,106.1315,107.4558,105.5625,106.7201,1524480
2015-07-07,106.828,107.7305,105.9353,107.6814,795821
2015-07-08,106.5141,107.2106,105.6606,105.8863,1127310
2015-07-09,106.9261,107.4068,104.7385,104.8072,1244368
2015-07-10,105.798,106.8574,104.6404,104.7778,1893155
2015-07-13,105.229,106.3866,105.0721,105.5822,959630
2015-07-14,106.0628,106.1805,105.0917,105.3565,798504
2015-07-15,105.8078,105.9451,104.9838,105.0917,950843
2015-07-16,105.8078,106.1413,105.3369,105.7195,1038402
2015-07-17,105.0426,105.9942,104.866,105.4546,890004
2015-07-20,105.592,106.2688,105.4154,105.9745,1042484
2015-07-21,106.004,106.6122,105.18,106.2002,1006509
2015-07-22,106.1315,106.9653,105.7685,106.4748,1453728
2015-07-23,106.0726,106.828,105.5429,105.798,916586
2015-07-24,105.4841,105.9549,104.5718,104.6306,693866
2015-07-27,104.3756,104.4737,103.5515,103.7674,739382
2015-07-28,103.3259,104.6306,103.1592,104.4737,975576
2015-07-29,104.7876,105.4252,104.199,104.9641,1188175
2015-07-30,104.9641,105.5135,102.4431,102.8551,2252409
2015-07-31,102.8551,103.4436,101.7171,102.0899,1546776
2015-08-03,102.4823,103.0905,101.776,102.3449,1520041
2015-08-04,102.4725,103.316,100.9422,101.1678,1043972
2015-08-05,102.031,102.4627,101.4719,101.9035,1058918
2015-08-06,101.6877,101.7858,99.3628,99.7552,1458445
2015-08-07,99.8533,99.9612,98.4505,99.7944,1423283
2015-08-10,100.7754,101.6288,100.02,101.4621,1207557
2015-08-11,101.1089,102.3548,100.746,102.188,1689406
2015-08-12,101.2168,101.7073,99.765,101.7073,1568639
2015-08-13,103.6889,108.7017,101.4326,102.3744,1279291
2015-08-14,102.4136,103.6398,100.9225,103.5221,1478568
2015-08-17,102.7079,104.4148,102.2567,104.3657,1058499
2015-08-18,103.9537,104.3559,103.4829,103.9537,910857
2015-08-19,103.3161,104.866,102.5117,104.1205,1252300
2015-08-20,102.8845,103.6496,102.6,102.8845,1457794
2015-08-21,102.5706,103.6987,102.0114,102.3744,2229339
2015-08-24,99.1862,100.0593,92.9276,97.6755,2777148
2015-08-25,102.443,102.5411,96.1648,96.1648,1494532
2015-08-26,97.2831,99.2353,96.1648,99.0979,1301292
2015-08-27,99.0391,101.4817,98.9998,101.4424,1474715
2015-08-28,101.0402,102.4921,99.7356,102.3842,1494087
2015-08-31,101.6288,102.8943,101.4817,101.5896,1627085
2015-09-01,100.795,100.795,98.1856,98.735,1598755
2015-09-02,99.0685,99.7257,98.4112,99.6963,1293842
2015-09-03,99.8533,101.5602,99.1862,100.1476,1280377
2015-09-04,98.6467,99.4609,98.1366,98.5486,1669526
2015-09-08,100.0397,100.7852,99.4413,100.7361,1233300
2015-09-09,101.3836,102.0212,98.9704,99.3039,1501084
2015-09-10,97.0084,99.0685,96.5278,98.1954,1615695
2015-09-11,98.529,98.6074,97.7834,98.2935,1343736
2015-09-14,98.4309,98.4309,96.7142,97.1556,1473341
2015-09-15,98.1464,100.9912,97.2243,98.0679,1016142
2015-09-16,98.3131,99.0979,97.136,98.8233,1146379
2015-09-17,99.3922,100.2555,98.4603,98.9704,773044
2015-09-18,98.0777,98.166,97.0673,97.3126,1621964
2015-09-21,97.4303,98.7055,96.2139,96.3218,1711887
2015-09-22,95.9098,96.0373,95.0073,95.7234,2204751
2015-09-23,95.5174,97.9208,95.1446,95.4978,862940
2015-09-24,94.6737,95.7332,93.3788,93.8007,1327797
2015-09-25,94.2617,95.0956,91.8289,92.6431,1577495
2015-09-28,92.2017,92.2703,89.1901,90.6517,2274983
2015-09-29,90.4752,92.4469,90.3575,92.0055,2290210
2015-09-30,92.751,93.1042,91.358,92.1428,1954062
2015-10-01,92.0349,92.3292,90.2495,92.1723,1557331
2015-10-02,87.081,93.4671,87.081,93.4573,1314236
2015-10-05,94.0263,94.4775,93.0846,93.683,1312697
2015-10-06,93.6241,94.2715,91.3679,92.2017,2332476
2015-10-07,92.8099,93.2464,92.3096,93.0846,598052
2015-10-08,92.8491,93.732,91.8681,93.6241,952115
2015-10-09,93.7614,94.8209,93.4966,94.6149,968051
2015-10-12,94.4089,94.9876,93.6731,94.6737,979863
2015-10-13,94.0459,94.8895,93.7418,94.2617,1387688
2015-10-14,94.4775,94.5168,93.2709,93.3788,866403
2015-10-15,93.3788,96.2237,93.1925,96.0569,1543249
2015-10-16,96.1648,96.979,95.949,96.6651,1448336
2015-10-19,96.2727,97.3812,95.8705,96.3218,1019640
2015-10-20,96.0275,96.1746,95.0857,95.8509,723482
2015-10-21,95.9882,96.5376,94.8895,95.0563,1211336
2015-10-22,95.0563,95.7724,92.4175,92.5941,1928579
2015-10-23,93.0551,94.6835,92.133,92.7608,1963642
2015-10-26,92.4469,92.9865,91.9074,92.8687,939953
2015-10-27,92.3979,93.683,92.1428,93.3788,1121728
2015-10-28,93.4083,96.6161,92.29,96.0079,1698478
2015-10-29,100.226,103.5614,100.1574,102.8747,2597357
2015-10-30,102.757,103.836,101.5504,102.5804,1896819
2015-11-02,102.7864,105.0721,102.6098,104.9151,1429134
2015-11-03,104.7385,104.9641,103.7085,104.3756,1103757
2015-11-04,105.4939,105.9745,104.9641,105.7391,1134103
2015-11-05,105.3565,106.1021,104.6895,105.798,1060362
2015-11-06,105.3075,106.0432,104.2873,105.2388,1410335
2015-11-09,105.1211,105.3663,104.4737,104.8857,736819
2015-11-10,105.1701,105.6901,104.7238,105.2192,598593
2015-11-11,105.2879,105.6803,104.405,104.6012,465883
2015-11-12,100.3339,103.6202,100.3339,102.6589,1375610
2015-11-13,102.5804,103.218,101.9918,102.3057,738233
2015-11-16,102.6392,103.6006,101.7956,103.581,777823
2015-11-17,103.2082,104.1401,102.6589,102.757,698726
2015-11-18,102.757,103.836,102.1291,102.9728,1236557
2015-11-19,103.0022,103.0022,100.54,102.0899,1051699
